hash_module_type,buffer_type,scheduler_type,num_ports,global_voq_size,shared_memory_size,axis_data_width,clock_frequency_mhz,queue_depth_log,hash_lut,hash_ff,hash_bram,rx_lut,rx_ff,rx_bram,sched_lut,sched_ff,sched_bram,buffer_bram,total_lut,total_ff,total_bram,buffer_memory_bytes,packets_received,packets_transmitted,packets_dropped,total_cycles,avg_latency_ns,max_latency_ns,throughput_gbps,voq_overflow,shared_mem_overflow,drop_rate,rx_utilization,hash_utilization,scheduler_utilization,line_rate_achieved_ratio,phase,per_port_voq_sizes,original_total_memory,optimized_total_memory,bram_saving_pct,performance_degradation_pct
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,256,256,250.0,5,3850,2714,0,268,2677,64,24699,31366,336,8,28817,36757,408,256,998,998,0,13538,21993.020100200414,0.0,9.432119147842768,False,False,0.0,0.060524080366376125,0.516028955532575,0.78002659181563,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,256,512,250.0,5,6417,4524,0,447,4463,64,41165,52277,560,16,48029,61264,640,256,998,991,7,13293,21488.893178607475,0.0,9.53851220926254,True,True,0.0070140280561122245,0.05225494621229218,0.4504626495147822,0.7763484540735726,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,256,640,250.0,5,4812,3393,0,335,3347,64,30873,39207,420,20,36020,45947,504,256,998,973,25,12941,20674.822692702986,0.0,9.619889839037702,True,True,0.025050100200400802,0.05367630013136543,0.4627154006645545,0.7770651417973882,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,512,256,250.0,6,3850,2714,0,268,2677,64,24699,31366,336,8,28817,36757,408,512,998,998,0,13538,21993.020100200414,0.0,9.432119147842768,False,False,0.0,0.060524080366376125,0.516028955532575,0.78002659181563,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,512,512,250.0,6,6417,4524,0,447,4463,64,41165,52277,560,16,48029,61264,640,512,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,512,640,250.0,6,4812,3393,0,335,3347,64,30873,39207,420,20,36020,45947,504,512,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,1024,256,250.0,7,3850,2714,0,268,2677,64,24699,31366,336,8,28817,36757,408,1024,998,998,0,13538,21993.020100200414,0.0,9.432119147842768,False,False,0.0,0.060524080366376125,0.516028955532575,0.78002659181563,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,1024,512,250.0,7,6417,4524,0,447,4463,64,41165,52277,560,16,48029,61264,640,1024,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,1024,640,250.0,7,4812,3393,0,335,3347,64,30873,39207,420,20,36020,45947,504,1024,998,998,0,13355,21628.71549098197,0.0,9.561311656516105,False,False,0.0,0.052012354923249716,0.44837139648071883,0.7763384500187196,1.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,RoundRobin,8,-1,2048,256,250.0,8,3850,2714,0,268,2677,64,24699,31366,336,8,28817,36757,408,2048,998,998,0,13538,21993.020100200414,0.0,9.432119147842768,False,False,0.0,0.060524080366376125,0.516028955532575,0.78002659181563,1.0,1,,0,0,0.0,0.0
