time,src_addr,dst_addr,header_size,body_size,trace_id
0.0,0,1,1,26,1
0.0,1,0,1,75,2
989913.0,0,1,1,26,3
989913.0,1,0,1,78,4
1986980.0,0,1,1,26,5
2985954.0,1,0,1,26,6
2985954.0,1,0,1,82,7
2985954.0,0,1,1,26,8
3983974.0,1,0,1,26,9
3983974.0,0,1,1,119,10
4988908.0,1,0,1,89,11
5986928.0,0,1,1,26,12
5986928.0,0,1,1,93,13
5986928.0,1,0,1,26,14
7024049.0,1,0,1,98,15
7024049.0,0,1,1,26,16
8024930.0,1,0,1,95,17
8024930.0,0,1,1,26,18
8988857.0,1,0,1,26,19
8988857.0,1,0,1,79,20
10036945.0,0,1,1,26,21
10036945.0,1,0,1,26,22
10036945.0,1,0,1,96,23
11037826.0,0,1,1,26,24
11037826.0,1,0,1,26,25
12038946.0,2,3,1,43,26
12038946.0,4,3,1,46,27
12038946.0,4,3,1,41,28
12038946.0,2,3,1,43,29
13002872.0,4,3,1,48,30
13002872.0,4,3,1,42,31
13002872.0,1,0,1,111,32
13002872.0,0,1,1,26,33
14040946.0,1,0,1,80,34
14040946.0,0,1,1,26,35
15001058.0,2,3,1,43,36
15001058.0,4,3,1,47,37
15001058.0,4,3,1,43,38
15001058.0,1,0,1,44,39
16001939.0,0,1,1,26,40
17006874.0,1,0,1,74,41
17006874.0,0,1,1,26,42
18003940.0,2,3,1,43,43
19042015.0,4,3,1,46,44
19042015.0,4,3,1,42,45
19042015.0,1,0,1,26,46
20037889.0,2,3,1,43,47
20037889.0,1,0,1,117,48
20037889.0,0,1,1,26,49
21038055.0,4,3,1,46,50
21038055.0,4,3,1,42,51
21038055.0,1,0,1,26,52
22037982.0,1,0,1,112,53
22037982.0,0,1,1,26,54
23000955.0,1,0,1,26,55
23000955.0,2,3,1,265,56
23000955.0,5,3,1,282,57
23000955.0,1,0,1,76,58
24520874.0,0,1,1,26,59
24520874.0,1,0,1,26,60
24520874.0,1,0,1,113,61
25544881.0,0,1,1,26,62
25544881.0,1,0,1,26,63
26543855.0,0,1,1,20,64
26543855.0,0,1,1,21,65
27544021.0,1,0,1,26,66
27544021.0,1,0,1,26,67
27544021.0,1,0,1,113,68
28534889.0,0,1,1,26,69
28534889.0,0,1,1,97,70
29543876.0,1,0,1,26,71
29543876.0,1,0,1,75,72
30536890.0,0,1,1,26,73
30536890.0,1,0,1,72,74
31540870.0,0,1,1,26,75
31540870.0,1,0,1,26,76
